[2024-12-27T11:38:57.291+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-27T11:38:57.416+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T11:38:57.775+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T11:38:58.931+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 15
[2024-12-27T11:38:58.932+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 15
[2024-12-27T11:38:58.933+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 15
[2024-12-27T11:38:58.938+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 15
[2024-12-27T11:38:58.940+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 15
[2024-12-27T11:38:58.942+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 15
[2024-12-27T11:38:58.944+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 15
[2024-12-27T11:38:58.946+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 15
[2024-12-27T11:38:58.948+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 15
[2024-12-27T11:38:58.949+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 15
[2024-12-27T11:38:58.951+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 15
[2024-12-27T11:38:58.955+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 15
[2024-12-27T11:38:58.956+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 15
[2024-12-27T11:38:58.958+0000] {parse.py:68} INFO - Row number: 16 in collection page
[2024-12-27T11:38:58.960+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 16
[2024-12-27T11:38:58.962+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 16
[2024-12-27T11:38:58.964+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 16
[2024-12-27T11:38:58.965+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 16
[2024-12-27T11:38:58.968+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 16
[2024-12-27T11:38:58.971+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 16
[2024-12-27T11:38:58.973+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 16
[2024-12-27T11:38:58.974+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 16
[2024-12-27T11:38:58.977+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 16
[2024-12-27T11:38:58.979+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 16
[2024-12-27T11:38:58.981+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 16
[2024-12-27T11:38:58.983+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 16
[2024-12-27T11:38:58.985+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 16
[2024-12-27T11:38:58.992+0000] {parse.py:68} INFO - Row number: 17 in collection page
[2024-12-27T11:38:58.994+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 17
[2024-12-27T11:38:58.995+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 17
[2024-12-27T11:38:58.997+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 17
[2024-12-27T11:38:59.000+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 17
[2024-12-27T11:38:59.002+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 17
[2024-12-27T11:38:59.006+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 17
[2024-12-27T11:38:59.009+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 17
[2024-12-27T11:38:59.012+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 17
[2024-12-27T11:38:59.014+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 17
[2024-12-27T11:38:59.018+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 17
[2024-12-27T11:38:59.024+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 17
[2024-12-27T11:38:59.026+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 17
[2024-12-27T11:38:59.028+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 17
[2024-12-27T11:38:59.031+0000] {parse.py:68} INFO - Row number: 18 in collection page
[2024-12-27T11:38:59.034+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 18
[2024-12-27T11:38:59.036+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 18
[2024-12-27T11:38:59.044+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 18
[2024-12-27T11:38:59.049+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 18
[2024-12-27T11:38:59.052+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 18
[2024-12-27T11:38:59.056+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 18
[2024-12-27T11:38:59.058+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 18
[2024-12-27T11:38:59.060+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 18
[2024-12-27T11:38:59.062+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 18
[2024-12-27T11:38:59.064+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 18
