[2025-01-09T12:28:14.854+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-09T12:28:14.990+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2025-01-08T00:00:00+00:00 [queued]>
[2025-01-09T12:28:15.032+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2025-01-08T00:00:00+00:00 [queued]>
[2025-01-09T12:28:16.902+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 13
[2025-01-09T12:28:16.904+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 13
[2025-01-09T12:28:16.906+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 13
[2025-01-09T12:28:16.907+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 13
[2025-01-09T12:28:16.912+0000] {parse.py:68} INFO - Row number: 14 in collection page
[2025-01-09T12:28:16.916+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 14
[2025-01-09T12:28:16.921+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 14
[2025-01-09T12:28:16.923+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 14
[2025-01-09T12:28:16.927+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 14
[2025-01-09T12:28:16.936+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 14
[2025-01-09T12:28:16.944+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 14
[2025-01-09T12:28:16.946+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 14
[2025-01-09T12:28:16.948+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 14
[2025-01-09T12:28:16.950+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 14
[2025-01-09T12:28:16.954+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 14
[2025-01-09T12:28:16.956+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 14
[2025-01-09T12:28:16.963+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 14
[2025-01-09T12:28:16.965+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 14
[2025-01-09T12:28:16.968+0000] {parse.py:68} INFO - Row number: 15 in collection page
[2025-01-09T12:28:16.989+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 15
[2025-01-09T12:28:16.991+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 15
[2025-01-09T12:28:16.998+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 15
[2025-01-09T12:28:17.001+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 15
[2025-01-09T12:28:17.005+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 15
[2025-01-09T12:28:17.007+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 15
[2025-01-09T12:28:17.013+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 15
[2025-01-09T12:28:17.015+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 15
[2025-01-09T12:28:17.017+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 15
[2025-01-09T12:28:17.021+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 15
[2025-01-09T12:28:17.024+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 15
[2025-01-09T12:28:17.030+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 15
[2025-01-09T12:28:17.032+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 15
