[2024-12-29T04:23:24.336+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-29T04:23:24.399+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:24.647+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:25.459+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 11
[2024-12-29T04:23:25.460+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 11
[2024-12-29T04:23:25.462+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 11
[2024-12-29T04:23:25.463+0000] {parse.py:68} INFO - Row number: 12 in collection page
[2024-12-29T04:23:25.466+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 12
[2024-12-29T04:23:25.469+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 12
[2024-12-29T04:23:25.471+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 12
[2024-12-29T04:23:25.473+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 12
[2024-12-29T04:23:25.474+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 12
[2024-12-29T04:23:25.476+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 12
[2024-12-29T04:23:25.478+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 12
[2024-12-29T04:23:25.480+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 12
[2024-12-29T04:23:25.481+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 12
[2024-12-29T04:23:25.484+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 12
[2024-12-29T04:23:25.486+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 12
[2024-12-29T04:23:25.487+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 12
[2024-12-29T04:23:25.489+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 12
[2024-12-29T04:23:25.491+0000] {parse.py:68} INFO - Row number: 13 in collection page
[2024-12-29T04:23:25.492+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 13
[2024-12-29T04:23:25.494+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 13
[2024-12-29T04:23:25.495+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 13
[2024-12-29T04:23:25.497+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 13
[2024-12-29T04:23:25.498+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 13
[2024-12-29T04:23:25.499+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 13
[2024-12-29T04:23:25.502+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 13
[2024-12-29T04:23:25.503+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 13
[2024-12-29T04:23:25.506+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 13
[2024-12-29T04:23:25.508+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 13
[2024-12-29T04:23:25.509+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 13
[2024-12-29T04:23:25.510+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 13
[2024-12-29T04:23:25.511+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 13
[2024-12-29T04:23:25.513+0000] {parse.py:68} INFO - Row number: 14 in collection page
[2024-12-29T04:23:25.514+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 14
[2024-12-29T04:23:25.516+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 14
[2024-12-29T04:23:25.517+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 14
[2024-12-29T04:23:25.519+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 14
[2024-12-29T04:23:25.520+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 14
[2024-12-29T04:23:25.522+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 14
[2024-12-29T04:23:25.523+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 14
[2024-12-29T04:23:25.524+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 14
[2024-12-29T04:23:25.525+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 14
[2024-12-29T04:23:25.527+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 14
